iter	Passed	Remaining
756	8045	2582
757	8054	2571
758	8062	2560
759	8073	2549
760	8083	2538
761	8092	2527
762	8102	2516
763	8112	2505
764	8121	2494
765	8129	2483
766	8138	2472
767	8147	2461
768	8157	2450
769	8165	2439
770	8174	2428
771	8183	2416
772	8192	2405
773	8199	2394
774	8208	2383
775	8217	2372
776	8226	2361
777	8235	2350
778	8244	2338
779	8253	2327
780	8263	2317
781	8272	2306
782	8281	2295
783	8290	2284
784	8299	2273
785	8309	2262
786	8317	2251
787	8326	2240
788	8336	2229
789	8344	2218
790	8353	2207
791	8362	2196
792	8372	2185
793	8381	2174
794	8391	2163
795	8400	2152
796	8408	2141
797	8417	2130
798	8426	2119
799	8435	2108
800	8444	2097
801	8452	2086
802	8462	2075
803	8470	2064
804	8479	2053
805	8488	2043
806	8497	2032
807	8507	2021
808	8515	2010
809	8525	1999
810	8534	1988
811	8543	1978
812	8553	1967
813	8563	1956
814	8572	1945
815	8581	1935
816	8592	1924
817	8601	1913
818	8610	1902
819	8619	1892
820	8628	1881
821	8637	1870
822	8647	1859
823	8656	1848
824	8666	1838
825	8675	1827
826	8684	1816
827	8693	1805
828	8703	1795
829	8712	1784
830	8721	1773
831	8731	1763
832	8740	1752
833	8749	1741
834	8758	1730
835	8767	1720
836	8776	1709
837	8785	1698
838	8795	1687
839	8804	1677
840	8814	1666
841	8823	1655
842	8831	1644
843	8840	1634
844	8852	1623
845	8862	1613
846	8872	1602
847	8881	1592
848	8891	1581
849	8901	1570
850	8911	1560
851	8921	1549
852	8931	1539
853	8941	1528
854	8952	1518
855	8961	1507
856	8970	1496
857	8980	1486
858	8991	1475
859	9000	1465
860	9010	1454
861	9021	1444
862	9029	1433
863	9038	1422
864	9047	1412
865	9056	1401
866	9065	1390
867	9074	1379
868	9083	1369
869	9093	1358
870	9103	1348
871	9112	1337
872	9122	1327
873	9132	1316
874	9143	1306
875	9155	1295
876	9166	1285
877	9178	1275
878	9188	1264
879	9200	1254
880	9210	1244
881	9221	1233
882	9231	1223
883	9242	1212
884	9253	1202
885	9264	1192
886	9277	1181
887	9289	1171
888	9300	1161
889	9311	1150
890	9321	1140
891	9333	1130
892	9343	1119
893	9355	1109
894	9365	1098
895	9376	1088
896	9387	1077
897	9397	1067
898	9407	1056
899	9418	1046
900	9429	1036
901	9440	1025
902	9451	1015
903	9462	1004
904	9473	994
905	9484	984
906	9495	973
907	9505	963
908	9514	952
909	9523	941
910	9533	931
911	9542	920
912	9552	910
913	9561	899
914	9571	889
915	9582	878
916	9591	868
917	9602	857
918	9612	847
919	9622	836
920	9632	826
921	9641	815
922	9651	805
923	9661	794
924	9670	784
925	9680	773
926	9690	763
927	9700	752
928	9709	742
929	9719	731
930	9728	721
931	9738	710
932	9747	699
933	9756	689
934	9765	678
